text,Sentiment Score,Analysis
,,
"[today, mi, kmaq, treaty, day, nova, scotia, celebrates, peace, friendship, treaties, signed, prevent, war]",0,Neutral
,,
"[promote, mi, kmaq, culture, wherever, amp, whenever, 25th, anniversary, mikmaqhistorymonth, amp, 100th, year]",2,Positive
,,
"[promote, mi, kmaq, culture, wherever, amp, whenever, 25th, anniversary, mikmaqhistorymonth, amp, 100th, year]",2,Positive
,,
"[promote, mi, kmaq, culture, wherever, amp, whenever, 25th, anniversary, mikmaqhistorymonth, amp, 100th, year]",2,Positive
,,
"[promote, mi, kmaq, culture, wherever, amp, whenever, 25th, anniversary, mikmaqhistorymonth, amp, 100th, year]",2,Positive
,,
"[promote, mi, kmaq, culture, wherever, amp, whenever, 25th, anniversary, mikmaqhistorymonth, amp, 100th, year]",2,Positive
,,
"[promote, mi, kmaq, culture, wherever, amp, whenever, 25th, anniversary, mikmaqhistorymonth, amp, 100th, year]",2,Positive
,,
"[promote, mi, kmaq, culture, wherever, amp, whenever, 25th, anniversary, mikmaqhistorymonth, amp, 100th, year]",2,Positive
,,
"[promote, mi, kmaq, culture, wherever, amp, whenever, 25th, anniversary, mikmaqhistorymonth, amp, 100th, year]",2,Positive
,,
"[promote, mi, kmaq, culture, wherever, amp, whenever, 25th, anniversary, mikmaqhistorymonth, amp, 10]",1,Positive
,,
"[today, mi, kmaq, treaty, day, nova, scotia, celebrates, peace, friendship, treaties, signed, prevent, war]",0,Neutral
,,
"[place, called, nova, scotia, also, part, mi, kma, ki, history, settler, colonial, stories]",0,Neutral
,,
"[place, called, nova, scotia, also, part, mi, kma, ki, history, settler, colonial, stories]",0,Neutral
,,
"[today, mi, kmaq, treaty, day, nova, scotia, celebrates, peace, friendship, treaties, signed, prevent, war]",0,Neutral
,,
"[productive, treatyday, learning, nscc, j, school, meet, trc, call, action, 86]",3,Positive
,,
"[treatyday, something, recognize, oct, 1st, treaty, something, must, acknowledged]",0,Neutral
,,
"[important, moment, canada, history, happened, treatyday, novascotia, apology, made, catholic]",3,Positive
,,
"[important, moment, canada, history, happened, treatyday, novascotia, apology, made]",3,Positive
,,
"[productive, treatyday, learning, nscc, j, school, meet, trc, call, action, 86]",3,Positive
,,
"[mikmaq, history, month, lesson, 1, unceded, mi, kmaq, territory, metis, communities, lands, inc]",0,Neutral
,,
"[membertou, residential, school, survivor, surprised, gesture, catholic, church, trc, treatyday, cape, breton, post, http]",2,Positive
,,
"[archives, celebrate, treatyday, october, 1st, recognition, treaties, signed, british, empire, mi, kmaq, pe]",0,Neutral
,,
"[mikmaq, history, month, lesson, 1, unceded, mi, kmaq, territory, metis, communities, lands, inc]",0,Neutral
,,
"[great, pride, launched, 2018, indigenous, women, community, leadership, program, treatyday, uncede]",1,Positive
,,
"[archives, celebrate, treatyday, october, 1st, recognition, treaties, signed, british, empire, mi, kmaq, pe]",0,Neutral
,,
"[treatyday, 2018, novascotia]",0,Neutral
,,
